gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
114524,01,000208,1999-10-06,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,EBAY INC,EBAY,278642103,0001065088,5961,455219
120178,01,000208,1999-10-27,2001-05-30,Nasdaq 100,LGCAP,I0028,,,EXCHG,VOICESTREAM WIRELESS CORP,VSTR.,928615103,,4812,513322
065899,01,000208,1999-11-22,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,REALNETWORKS INC,RNWK,75605L708,0001046327,7370,519130
065488,01,000208,1999-12-20,2000-06-08,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETWORK SOLUTIONS INC,NSOL.,64121Q102,0001030341,7370,514191
060969,01,000208,1999-12-20,2000-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,LEGATO SYSTEMS INC,LGTO.1,524651106,0000859360,7372,511210
031620,01,000208,1999-12-20,2001-02-12,Nasdaq 100,LGCAP,I0028,,,EXCHG,SDL INC,SDLI,784076101,0000934741,3674,334413
065489,01,000208,1999-12-20,2001-12-16,Nasdaq 100,LGCAP,I0028,,,EXCHG,XO HOLDINGS INC -CL A,3XOHO,983764101,0001111634,4813,517110
063099,01,000208,1999-12-20,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADVISION INC,BVSN,111412706,0000920448,7370,5415
065706,01,000208,1999-12-20,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,ABOVENET INC,ABVT,591689104,0001043533,4899,517919
012484,01,000208,1999-12-20,2002-06-02,Nasdaq 100,LGCAP,I0028,,,EXCHG,ADELPHIA COMMUN  -CL A,ADELQ,006848105,0000796486,4841,517510
023943,01,000208,1999-12-20,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,PMC-SIERRA INC,PMCS,69344F106,0000767920,3674,334413
062712,01,000208,1999-12-20,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,I2 TECHNOLOGIES INC,ITWO,465754208,0001009304,7372,511210
065904,01,000208,1999-12-20,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,APPLIED MICRO CIRCUITS CORP,AMCC,03822W406,0000711065,3674,334413
064853,01,000208,1999-12-20,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,QORVO INC,QRVO,74736K101,0001604778,3674,334413
029791,01,000208,1999-12-20,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,QLOGIC CORP,QLGC,747277101,0000918386,3570,334118
024008,01,000208,1999-12-20,2007-06-04,Nasdaq 100,LGCAP,I0028,,,EXCHG,MEDIMMUNE INC,MEDI.1,584699102,0000873591,2836,325414
060900,01,000208,1999-12-20,2010-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,DISH NETWORK CORP,DISH,25470M109,0001001082,4841,516210
061591,01,000208,1999-12-20,2016-12-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETAPP INC,NTAP,64110D104,0001002047,3572,334112
062261,01,000208,1999-12-30,2002-12-15,Nasdaq 100,LGCAP,I0028,,,EXCHG,GEMSTAR-TV GUIDE INTL INC,GMST,36866W106,0000923282,4841,515210
066368,01,000208,2000-06-09,2012-12-27,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISIGN INC,VRSN,92343E102,0001014473,7370,519290
121718,01,000208,2000-09-07,2009-10-28,Nasdaq 100,LGCAP,I0028,,,EXCHG,JUNIPER NETWORKS INC,JNPR,48203R104,0001043604,3576,334118
121493,01,000208,2000-10-27,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,ARIBA INC,ARBA,04033V203,0001084755,7372,511210
066708,01,000208,2000-10-30,2015-11-10,Nasdaq 100,LGCAP,I0028,,,EXCHG,BROADCOM CORP,BRCM,111320107,0001054374,3674,334413
132502,01,000208,2000-11-06,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,PALM INC,PALM,696643105,0001100389,3571,334111
024468,01,000208,2000-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BIOGEN INC,BIIB,09062X103,0000875045,2836,325414
106368,01,000208,2000-12-18,2001-10-04,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXODUS COMMUNICATIONS INC,3EXDSQ,302088109,,7370,514191
111488,01,000208,2000-12-18,2001-12-23,Nasdaq 100,LGCAP,I0028,,,EXCHG,INKTOMI CORP,INKT.1,457277101,0001024302,7372,511210
011135,01,000208,2000-12-18,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,RATIONAL SOFTWARE CORP,RATL,75409P202,0000722056,7370,541519
112178,01,000208,2000-12-18,2002-12-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,ABGENIX INC,ABGX,00339B107,0001052837,2836,325414
029312,01,000208,2000-12-18,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,HUMAN GENOME SCIENCES INC,HGSI,444903108,0000901219,2835,325413
064156,01,000208,2000-12-18,2003-12-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONSTER WORLDWIDE INC,MWW,611742107,0001020416,7370,519130
062784,01,000208,2000-12-18,2005-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,MILLENNIUM PHARMACEUTICALS,MLNM,599902103,0001002637,2835,325413
029095,01,000208,2000-12-18,2006-01-03,Nasdaq 100,LGCAP,I0028,,,EXCHG,MERCURY INTERACTIVE CORP,MERQ.1,589405109,0000867058,7372,511210
064606,01,000208,2000-12-18,2008-05-06,Nasdaq 100,LGCAP,I0028,,,EXCHG,BEA SYSTEMS INC,BEAS,073325102,0001031798,7372,511210
