Date,Ticker,Russell1000,RussellT200,R1000_WT,R200_WT
2016-10-31,AXP,Y,Y,0.002591,0.003627
2016-10-31,AIG,Y,Y,0.003338,0.004672
2016-10-31,AMT,Y,Y,0.002408,0.003371
2016-10-31,AMGN,Y,Y,0.005174,0.007242
2016-10-31,APC,Y,Y,0.001620,0.002267
2016-10-31,ANTM,Y,Y,0.001565,0.002190
2016-10-31,APA,Y,Y,0.001099,0.001538
2016-10-31,AAPL,Y,Y,0.030367,0.042504
2016-10-31,AMAT,Y,Y,0.001545,0.002162
2016-10-31,ADM,Y,Y,0.001221,0.001709
2016-10-31,ADP,Y,Y,0.001935,0.002708
2016-10-31,BBT,Y,Y,0.001554,0.002175
2016-10-31,BAC,Y,Y,0.008275,0.011583
2016-10-31,BK,Y,Y,0.002209,0.003092
2016-10-31,BAX,Y,Y,0.001157,0.001619
2016-10-31,BDX,Y,Y,0.001712,0.002396
2016-10-31,BRK.B,Y,Y,0.013316,0.018638
2016-10-31,BIIB,Y,Y,0.002990,0.004185
2016-10-31,BLK,Y,Y,0.002079,0.002910
2016-10-31,BA,Y,Y,0.004145,0.005801
2016-10-31,BSX,Y,Y,0.001445,0.002023
2016-10-31,BMY,Y,Y,0.004148,0.005805
2016-10-31,CBS,Y,Y,0.001114,0.001559
2016-10-31,CI,Y,Y,0.001472,0.002060
2016-10-31,CME,Y,Y,0.001648,0.002307
2016-10-31,CSX,Y,Y,0.001420,0.001987
2016-10-31,CVS,Y,Y,0.004403,0.006163
2016-10-31,COF,Y,Y,0.001842,0.002579
2016-10-31,CAH,Y,Y,0.001092,0.001528
2016-10-31,CCL,Y,Y,0.000975,0.001365
2016-10-31,CAT,Y,Y,0.002270,0.003177
2016-10-31,CELG,Y,Y,0.003830,0.005360
2016-10-31,CHTR,Y,Y,0.002441,0.003417
2016-10-31,CVX,Y,Y,0.009609,0.013450
2016-10-31,CSCO,Y,Y,0.007535,0.010547
2016-10-31,C,Y,Y,0.007042,0.009857
2016-10-31,KO,Y,Y,0.008060,0.011281
2016-10-31,CTSH,Y,Y,0.001512,0.002116
2016-10-31,CL,Y,Y,0.003021,0.004228
2016-10-31,CMCSA,Y,Y,0.007269,0.010174
2016-10-31,COP,Y,Y,0.002627,0.003677
2016-10-31,STZ,Y,Y,0.001349,0.001888
2016-10-31,GLW,Y,Y,0.001191,0.001666
2016-10-31,COST,Y,Y,0.003142,0.004398
2016-10-31,CCI,Y,Y,0.001490,0.002085
2016-10-31,DHR,Y,Y,0.002318,0.003245
2016-10-31,DE,Y,Y,0.001354,0.001896
2016-10-31,DVMT,Y,Y,0.000519,0.000726
2016-10-31,DAL,Y,Y,0.001570,0.002198
2016-10-31,DIS,Y,Y,0.007339,0.010272
2016-10-31,DFS,Y,Y,0.001127,0.001577
2016-10-31,DISH,Y,Y,0.000626,0.000877
2016-10-31,D,Y,Y,0.002256,0.003158
2016-10-31,DOW,Y,Y,0.002945,0.004122
2016-10-31,DD,Y,Y,0.002933,0.004106
2016-10-31,DUK,Y,Y,0.002691,0.003767
2016-10-31,EOG,Y,Y,0.002424,0.003393
2016-10-31,EBAY,Y,Y,0.001484,0.002077
2016-10-31,ECL,Y,Y,0.001450,0.002030
2016-10-31,EMR,Y,Y,0.001583,0.002216
2016-10-31,EQR,Y,Y,0.001072,0.001500
2016-10-31,EXC,Y,Y,0.001473,0.002062
2016-10-31,ESRX,Y,Y,0.002079,0.002910
2016-10-31,XOM,Y,Y,0.016955,0.023731
2016-10-31,FB,Y,Y,0.014343,0.020076
2016-10-31,FDX,Y,Y,0.002121,0.002969
2016-10-31,F,Y,Y,0.002223,0.003112
2016-10-31,FTV,Y,Y,0.000753,0.001054
2016-10-31,BEN,Y,Y,0.000591,0.000828
2016-10-31,GD,Y,Y,0.001793,0.002510
2016-10-31,GE,Y,Y,0.013068,0.018291
2016-10-31,GIS,Y,Y,0.001796,0.002514
2016-10-31,GM,Y,Y,0.002160,0.003023
2016-10-31,GILD,Y,Y,0.004759,0.006662
2016-10-31,GS,Y,Y,0.003354,0.004694
2016-10-31,HCA,Y,Y,0.001144,0.001602
2016-10-31,HPQ,Y,Y,0.001222,0.001710
2016-10-31,HAL,Y,Y,0.001922,0.002691
2016-10-31,HPE,Y,Y,0.001891,0.002647
2016-10-31,HD,Y,Y,0.007408,0.010369
2016-10-31,HON,Y,Y,0.004072,0.005699
2016-10-31,HUM,Y,Y,0.001246,0.001744
2016-10-31,ITW,Y,Y,0.001630,0.002282
2016-10-31,INTC,Y,Y,0.008042,0.011256
2016-10-31,ICE,Y,Y,0.001551,0.002171
2016-10-31,IBM,Y,Y,0.006593,0.009228
2016-10-31,INTU,Y,Y,0.001291,0.001807
2016-10-31,JPM,Y,Y,0.012303,0.017221
2016-10-31,JNJ,Y,Y,0.015552,0.021768
2016-10-31,KMB,Y,Y,0.002004,0.002805
2016-10-31,KMI,Y,Y,0.001916,0.002682
2016-10-31,KHC,Y,Y,0.002586,0.003620
2016-10-31,KR,Y,Y,0.001436,0.002010
2016-10-31,LVS,Y,Y,0.001024,0.001434
2016-10-31,EL,Y,Y,0.000920,0.001287
2016-10-31,LLY,Y,Y,0.003513,0.004917
2016-10-31,LMT,Y,Y,0.003055,0.004277
2016-10-31,LOW,Y,Y,0.002907,0.004069
2016-10-31,MMC,Y,Y,0.001611,0.002255
2016-10-31,MA,Y,Y,0.005032,0.007043
2016-10-31,MCD,Y,Y,0.004827,0.006756
2016-10-31,MCK,Y,Y,0.001394,0.001951
2016-10-31,MRK,Y,Y,0.007938,0.011111
2016-10-31,MET,Y,Y,0.002130,0.002981
2016-10-31,MSFT,Y,Y,0.022147,0.030998
2016-10-31,MDLZ,Y,Y,0.003275,0.004584
2016-10-31,MON,Y,Y,0.002143,0.003000
2016-10-31,MNST,Y,Y,0.000980,0.001372
2016-10-31,MS,Y,Y,0.002336,0.003270
2016-10-31,NFLX,Y,Y,0.002482,0.003475
2016-10-31,NEE,Y,Y,0.002876,0.004025
2016-10-31,NKE,Y,Y,0.003243,0.004538
2016-10-31,NSC,Y,Y,0.001339,0.001874
2016-10-31,NOC,Y,Y,0.001858,0.002601
2016-10-31,OXY,Y,Y,0.002711,0.003795
2016-10-31,ORCL,Y,Y,0.005544,0.007760
2016-10-31,PCG,Y,Y,0.001504,0.002105
2016-10-31,PNC,Y,Y,0.002328,0.003258
2016-10-31,PPG,Y,Y,0.001204,0.001685
2016-10-31,PYPL,Y,Y,0.002299,0.003218
